German,English
anfangen,begin
Habe,Have
hinten,rear
fällt,fall
wen,whom
Sekunden,Seconds
Manchmal,Once in a while
gerettet,saved
Naja,Oh well
Gibt,Are
jemals,ever
Meinung,opinion
geschehen,happen
Antwort,reply
schlimm,terrible
Eigentlich,actually
findet,find
Scheiß,Shit
gewinnen,to win
Tu,Tu
Gedanken,thoughts
erinnere,recall
mögen,like
Herren,Men's
klingt,sound
vorher,before
Auge,eye
hab',have'
setzen,set
cool,cool
Anfang,beginning
Immer,always
danach,after that
Monate,months
Lebens,Life
Beste,best
benutzen,use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,work
Rolle,role
gefährlich,dangerous
Dort,there
gelernt,learned
fallen,fall
böse,evil
werd,be
Nähe,vicinity
geschickt,sent
liebt,loving
Tisch,table
Mehr,More
Ziel,aim
Raum,space
jedem,each
fliegen,to fly
Wohnung,apartment
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,carefully
herum,hereabouts
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Will
Warten,Wait
großer,greater
arbeitet,is working
Euer,Your
Worte,Words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,A
Glaubst,Believe
falls,if
schreiben,to write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,be
Verzeihung,forgiveness
niemanden,no one
neues,new
Weiß,White
benutzt,used
nen,nine
jedes,each
schätze,treasures
Finger,finger
wert,worth
rüber,over
halte,hold
Falls,If
besonders,especially
Daddy,Daddy
Witz,joke
nachdem,after
nimmt,takes
Kontrolle,control
großartig,Great
Herzen,Heart
gutes,good
gewonnen,won
Bier,beer
kamen,came
Drei,Three
stolz,proudly
Egal,does not matter
komisch,Strange
bitten,request
Ihrer,Of their
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,New
glaubt,believe
Seid,Are
hörte,heard
rum,rum
Lage,position
sowieso,anyway
bekommt,receives
Ruf,call
dagegen,on the other hand
Richtung,direction
nötig,necessary
Minute,minute
lesen,read
behalten,to keep
selber,myself
verkaufen,to sell
geschrieben,written
Entscheidung,decision
unterwegs,On the way
Insel,Island
Hotel,hotel
voller,full of
frage,ask
Monat,month
rufe,call
verdient,deserved
gearbeitet,worked
wenigstens,at least
wünschte,wished
tu,tu
schöne,lovely
Selbst,Self
Seele,soul
stand,was standing
Geist,spirit
Gefahr,danger
Gefallen,Please
unmöglich,impossible
gelesen,had read
glaub,belie
Wegen,Because
bezahlt,paid
Schicksal,fate
verstehst,understand
leider,Unfortunately
Monaten,Monthly
Weile,while
verheiratet,married
mussten,had
Agent,agent
rufen,call
jemandem,someone
gib,give
Beispiel,example
kalt,cold
sitzt,sitting
Anruf,phone call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damn
euer,your
hole,go
Denkst,Think
Bauer,Farmer
Karte,map
aller,all
du's,You's
Befehl,command
darfst,can
bekannt,known
Opfer,victim
unglaublich,unbelievable
steckt,plugged
Ernst,serious
unbedingt,necessarily
Wen,Whom
Zug,train
perfekt,Perfect
witzig,funny
Amerika,America
Keiner,None
Kamera,camera
führt,leads
passt,fits
schlagen,hit
kriegt,wart
Glauben,Believe
sieh,look
nennt,names
bin's,I'm
Gefühle,Feelings
ständig,constant
verändert,changes
tolle,great
Gottes,God
heiß,hot
Partner,partner
Mörder,murderer
folgen,Follow
Mich,Me
Computer,computer
dahin,there
ansehen,look at
Außerdem,Besides that
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,seek
I,I
nämlich,namely
Versuch,attempt
schlimmer,worse
Sheriff,sheriff
Unfall,accident
müsste,might
entschuldigen,apologize
Vorsicht,caution
Nase,nose
sowas,like this
schießen,shoot
alter,old
Geburtstag,birthday
beschützen,to protect
Zurück,Back
müde,tired
Beziehung,relationship
gestohlen,stolen
